反応集男, 以下クワッスの良いところを述べるスレ 
反応集女, >>98  良いところ…鳥 
反応集男（渋め）, >>98  あのつやつやのホイップクリームヘアやろ 
反応集男（高め）, >>98  キュートなキューティクル 
反応集男（遅め）, >>98  清潔感がある 
反応集男, >>98  アヒルが好きやから好き 
反応集女, >>98  青い 
反応集男（渋め）, >>98  10年前に出てればなみのりたきのぼりそらをとぶとひでん要員として活躍できてそうなところ 
反応集男（高め）, ストーリーどころかクワッスのきれいな画像もないんだぞ 
反応集男（遅め）, クワッス3がいちばんかっこいいって言ってたのになんでクワッス3の画像を上げないんだ😡 
反応集男, クワッスさんまだ？ 
反応集女, なんかクワッスに勝利の舞あれば強ポケとか前スレで言ってた奴いるけど  そもそもアレ素早さ上がるか確定してなくない？上がれば強いけど 
反応集男（渋め）, 実際パラドクスの話題で盛り上がってたから間違ってはいない  クワッス君の図鑑画像が無視されてるのは可哀想だが 
反応集男（高め）, クワッス最終の図解結局出てないんかい 
反応集男（遅め）, クワッスは一番期待されてないし… 
反応集男, 新ポケ一覧と色違い一覧はよ…  クワッス最終はよ… 
反応集女, クワッスの配分はコメントに困る  強くも弱くもなく無難に使える感じ 
反応集男（渋め）, クワッス見た第一印象は  もう加速の無いバシャーモなんよ 
反応集男（高め）, クワッスは襷カウンター型かスカーフ型が良さそう  マッパアクジェで先制技２つあるしそこそこ強そう 
反応集男（遅め）, クワッスのライバルは水ウーラオスになるのか 
反応集男, クワッス3の右側なんだろうと思ってたら尻尾だったんかよ、、えーニャオハにします 
反応集女, ニャオハ3のデザイン正直微妙だと思ってたけどクワッスよりは全然マシだな… 
反応集男（渋め）, クワッス3の目は本当にこうなのか？これだったら進化させないでおこうかな…クワッスは御三家で一番好きなんだ 
反応集男（高め）, クワッス最終はちょっとやだな 
