反応集男, 影の薄いデンリュウくんは特性エレキフィールドにしてほしかった 
反応集女, >>818  薄い本のデンリュウくんに見えた 
反応集男（渋め）, >>826  デンリュウの種族値あまりにひどすぎて笑っちゃうよこんなん  HP 90  攻撃 75  防御 85  特攻 115   特防 90  素早 55  平均 85.0 (計510) 
反応集男（高め）, >>835  こうして見るとデンリュウってサンダーくらいの耐久はあるのね 
反応集男（遅め）, >>835  トロピウスよりマシだな いや、相当酷いなこれも  クワガノンを劣化させて技範囲も狭めたような感じか 
反応集男, >>835  個体値の配分自体はそこまで悪くないんだけどねえ  タイプと技と毛を生やせ 
反応集女," >>845,847,849  似たタイプの毛皮さんと種族値を比べるとデンリュウの酷さが際立つよ…  HP 85  攻撃 81  防御 97  特攻 121   特防 85  素早 101   平均 95.0 (計570) "
反応集男（渋め）, >>860  すまんが60も種族値高くてそれを素早さに回してる奴と比べるのはＮＧ 
反応集男（高め）, 種族値だけみたらレイドでものすごくつぶしが効くハラバリー君よりいいなデンリュウ  ただし特性とわざで勝負になってないな  特性でわざ威力アップしてアシボとパラボラチャージ使えるハラバリー君が優秀すぎる 
反応集男（遅め）, デンリュウって一応６世代で種族値上がったのよね  それ以前はライコウの完全劣化だったりする 
